RandomizationKey;Utterance;Attach;Comp;Global;Health;Control;MetaCog;Others;Hopeless;OthViews;OtherNeg;NC;Exclude;UttEnum;Scenario;Depth;Participant.ID
4343;My family could become homeless.;3;1;0;0;0;0;0;0;0;0;0;0;819;CB;3;24734
1414;I wouldn't have much fun;0;0;0;0;0;0;0;0;0;0;0;0;5014;Party;5;86970
158;I deserve to be given another chance.;0;0;0;0;1;0;0;0;0;0;0;0;1589;Fired;1;35682
1583;Them not understanding the situation. ;0;0;0;0;0;0;0;0;0;0;0;0;2852;FA;1;55570
926;I am not a good friend.;3;0;0;0;0;0;0;0;0;0;0;0;2480;Waving;2;49833
4299;it would mean alot of hurting in the future and it says that i really loved her;3;0;0;0;0;0;0;0;0;0;0;0;5607;Lover;2;95454
5175;I'd show more signs of not wanting to do anything purely out of fear.;0;0;0;0;1;0;0;2;0;0;0;0;2396;PTR;3;49226
1891;No one will ever love me or stay with me.;3;0;0;0;0;0;0;1;3;0;0;0;526;Lover;3;19164
5718;I cannot do anything right;0;0;3;0;0;0;0;0;0;0;0;0;1678;Dieting;2;37151
1080;(Previous answer was \I would be unable to improve my life situation (didn't appear at top) - I would become more depressed and frustrated\\;0;0;0;3;0;0;0;1;0;0;0;0;379;"JA\""""";3;18228
2919;I would end up committing suicide eventually;0;0;0;0;0;0;0;3;0;0;0;0;3424;PTR;7;63310
4427;I would become the black sheep of my family.;3;0;0;0;0;0;0;0;0;0;0;0;1562;PTR;4;33897
3065;I am not able to do new things.;0;2;2;0;0;0;0;0;0;0;0;0;2741;Fired;3;53580
388;I don't know the answer and now I have to figure it out;0;1;0;0;0;0;0;0;0;0;0;0;3566;Dieting;4;65522
2185;I will be forced to rely on others for the rest of my life to survive.;3;0;0;0;3;0;0;0;0;0;0;0;2715;JA;3;53095
4139;I might become homeless;0;3;0;0;0;0;0;1;0;0;0;0;5077;Fired;2;87463
862;it would mean to me and say I don't like being embarrassed or being ignored.;0;0;0;0;0;1;0;0;0;0;0;0;3453;Waving;2;64294
3380;would have liked to become more than friends but doesn't seem like it would happen;2;0;0;0;0;0;0;0;2;0;0;0;2054;CW;1;42292
4817;It would negatively affect my health and I might lose the will to live.;0;0;0;3;0;0;0;3;0;0;0;0;4650;Party;5;82295
5309;I am not smart enough to get this work done;0;3;2;0;0;0;0;0;0;0;0;0;398;Essay;2;18252
1675;I've gotten roped into something I don't enjoy and I could be doing something I enjoy;0;0;0;0;2;0;0;0;0;0;0;0;1615;Party;3;36319
4075;What I want isn't important.;0;0;2;0;0;0;0;0;0;0;0;0;1029;PTR;2;27052
5806;she doesn't want to be with me;2;0;0;0;0;0;0;0;1;0;0;0;3335;Lover;1;62526
4425;If I am told why I am being hired, then I cannot make myself better.;0;0;0;0;2;0;0;0;0;0;0;0;5184;JA;2;88293
3664;I would be alone. ;3;0;0;0;0;0;0;0;0;0;0;0;4487;Lover;1;79869
1895;trying to form a sentences.;0;1;0;0;0;0;0;0;0;0;0;0;599;Essay;2;19977
1441;I end up with a very expensive and sad divorce that impacts my children and our retirement planning;3;1;0;0;0;0;0;0;0;0;0;0;4288;PTR;5;76321
1286;It would mean that I have not been in the necessary effort to receive a positive response from these employers. This would say that I have not put in my due-diligence - or that I need to attain additional qualifications before seeking these types of jobs. ;0;3;2;0;0;0;0;0;0;0;0;0;4957;JA;2;86221
3986;I am not fun to go out with. ;1;0;2;0;0;0;0;0;0;0;0;0;3663;CW;2;66404
286;I am not going to have a lot of friends.;1;0;0;0;0;0;0;0;0;0;0;0;1186;Party;3;28199
2949;unless i go above and beyond these people are going to keep taking advantage;0;0;0;0;2;0;2;0;2;0;0;0;1053;PTR;3;27067
3016;I will be lonely.;3;0;0;0;0;0;0;0;0;0;0;0;1146;CW;5;27991
94;was he pretending to like me in the past;0;0;0;0;0;0;0;0;3;0;0;0;5591;Waving;3;94732
2908;I'm never going to make new friends;1;0;0;0;0;0;1;2;0;0;0;0;4878;Party;3;85809
902;I'm going to have to take a crappy job.;0;3;0;0;0;0;0;0;0;0;0;0;4791;JA;3;84801
1502;people will pity me;0;0;0;0;0;0;0;0;3;0;0;0;1379;Waving;4;31434
2620;Thinking about the negative feelings I would be having would make me feel like a bad person, for having the negative feelings in the first place. I know intellectually I should only feel happy for her.;0;0;3;0;0;0;0;0;0;0;0;0;756;PTR;3;21840
3499;That it's not my fault he or she doesn't want to talk.;0;0;0;0;0;0;0;0;2;0;0;0;829;Party;2;24734
5350;It would mean that this person will have the impression that I will solve all of their problems in the future.  They might burden me.  ;0;0;0;0;0;0;0;0;0;1;0;0;1068;PTR;2;27728
3195;BEcause I had a goal to improve my health and I failed for the week.;0;2;0;2;0;0;0;0;0;0;0;0;1451;Dieting;2;32542
3044;I was not competent enough.;0;3;0;0;0;0;0;0;0;0;0;0;5234;Fired;3;88912
4983;She needs to stop discussing this.;0;0;0;0;0;0;0;0;0;1;0;0;849;PTR;1;24999
5400;I must try harder.;0;0;2;0;0;0;0;0;0;0;0;0;2783;Dieting;3;54817
